mountain,topic,continent,country,location,img_url
"""Owl's Head Mountain"" (Peak above Owl's Head)",2, North America,United States,New Hampshire,https://sp-images.summitpost.org/328693.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=2daff88e0681c08cfca9d03130c6c788
Abajo Peak,2, North America,United States,Utah,https://sp-images.summitpost.org/86784.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=d1f38d6a7f1e7632dabaf5f890be7a2a
Abercrombie Mountain,2, North America,United States,Washington,https://sp-images.summitpost.org/36084.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=974f068dfa33788a90c3a8350455acee
Aconcagua,1, South America,Argentina,Mendoza,https://sp-images.summitpost.org/146685.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=6394242ace4e897fffe7217d82253c64
"Adams, Mount",0, North America,United States,Colorado,https://sp-images.summitpost.org/43479.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=387587d8ed2fe19a753064af7bf8f660
Agassiz Peak,1, North America,United States,Arizona,https://sp-images.summitpost.org/581324.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=9d2acc0049018f93998b2f44a177bdf4
Agung,1, Asia,Indonesia,Bali,https://sp-images.summitpost.org/286411.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=df3bc9c245891b5d226213f07b077057
Aiguille Dibona,1, Europe,France,Écrins Massif/Isère,https://sp-images.summitpost.org/812061.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=a9261537fee980fcdd4e84515b498306
Aiguille Verte,1, Europe,France,Haute Savoie (Mont Blanc),https://sp-images.summitpost.org/737593.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=86bd1b8eac321dac6ec265015a56687c
Aiguille d'Argentière,1, Europe,France,Haute Savoie (Mont Blanc),https://sp-images.summitpost.org/597767.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=1634f6e0ef6e8cefe65b855b97357d67
Aiguille de Rochefort,1, Europe,France/Italy,Haute-Savoie/Aosta (Mont Blanc),https://sp-images.summitpost.org/596353.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=cbd3298284717d9b39b9de39a977151e
Aiguille du Midi,1, Europe,France,Mont Blanc,https://sp-images.summitpost.org/11484.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=e9d815d3b7ae7a954a6a59db36e79364
Aiguille du Tour,1, Europe,France/Switzerland,,https://sp-images.summitpost.org/5520.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=4a82f2fbec2788b852741f822ff44e43
Aiguilles du Dru (or Les Drus),1, Europe,France,Mont Blanc group/Haute-Savoie,https://sp-images.summitpost.org/883819.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=53a331566ae5a1c5ef140cbe8afb997b
Alam Kooh,0, Asia,Iran,Mazandaran,https://sp-images.summitpost.org/3958.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=49a7fce2e2ca0b781f4297ed182b27c9
Aletschhorn,1, Europe,Switzerland,Berner Oberland,https://sp-images.summitpost.org/616423.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=7897e8c8d73637bf2611c85ded3569a8
Algonquin Peak,2, North America,United States,New York,https://sp-images.summitpost.org/2670.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=0d1de1bdeba8a9e754eb973c39b377d0
Allalinhorn,1, Europe,Switzerland,Wallis,https://sp-images.summitpost.org/357126.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=0e438b42cb7e577dace1739db17b1476
Allen Mountain,2, North America,United States,New York,https://sp-images.summitpost.org/89702.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=f7714e662efa052e0953a39be7780c6d
Almagre Mountain,2, North America,United States,Colorado,https://sp-images.summitpost.org/59344.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=ec007242462c3d34bae8fd10fa9dbfeb
Alpamayo,1, South America,Peru,Ancash,https://sp-images.summitpost.org/509597.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=8978e5a3e5bf588dfb073a3c9ec31d10
Alphubel,1, Europe,Switzerland,Mischabel/Wallis,https://sp-images.summitpost.org/289670.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=69d0b93248db0ccde8ae88b361ecdd83
Alta Peak,0, North America,United States,California,https://sp-images.summitpost.org/12074.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=de72c59332496600a307aa7a0a583c92
Ama Dablam,1, Asia,Nepal,Khumbu Himal,https://sp-images.summitpost.org/45141.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=51ccbb0acdc0bf3d5cb1a422955ed3d4
American Fork Twin Peaks,1, North America,United States,Utah,https://sp-images.summitpost.org/56774.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=7e53460ec946db411562e2e8f294e706
Aneto,1, Europe,Spain,Huesca,https://sp-images.summitpost.org/20058.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=d490a71afcc0b6bccec293e49e95b96c
Angels Landing,0, North America,United States,Utah,https://sp-images.summitpost.org/2234.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=4156d9eb12bc9678649347246d0cdd01
Annapolis Rocks,2, North America,United States,Maryland,https://sp-images.summitpost.org/300173.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=c14a20878f25971a6ae9ccc3ce9bc935
Anthony's Nose,2, North America,United States,New York,https://sp-images.summitpost.org/305063.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=375425d5772a6eccbe3f0b47fa58d790
Aoraki - Cook,1, Oceana,New Zealand,Canterbury,https://sp-images.summitpost.org/12931.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=1bafbbcbd0ed196b3b6c9c8b47583172
Apache Peak,1, North America,United States,Colorado,https://sp-images.summitpost.org/63824.JPG?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=df44a99c4ba2419238d92c63e91a9689
Aragats (Арагац),0, Europe/Asia,Armenia,Aragatsotn marz,https://sp-images.summitpost.org/115156.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=506b8a95d54899fa4696d38d19d6c4e8
Ararat,1, Asia,Turkey,erzurum,https://sp-images.summitpost.org/335196.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=c4b4869f07e0c3aa2d31fe0b1d45d4f9
Arc Dome,2, North America,United States,Nevada,https://sp-images.summitpost.org/57791.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=19f4fee311361d6056c44a764c6ca117
Arrow Peak,1, North America,United States,Colorado,https://sp-images.summitpost.org/92692.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=c4684ea8f3417256008b90ee094dde5e
Artesonraju,1, South America,Peru,,https://sp-images.summitpost.org/362514.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=fb9f1a8ad5878ddf6df1df5487a8363e
Assiniboine,0, North America,Canada,British Columbia,https://sp-images.summitpost.org/447638.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=0d7592ff08a72676a285b4e71f368001
Avalanche Peak,0, North America,United States,Wyoming,https://sp-images.summitpost.org/314488.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=cfa4ce192ed04634e4a0c7dd17f3dafd
Baboquivari Peak,0, North America,United States,Arizona,https://sp-images.summitpost.org/6.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=7ac6e99c9c2bb875ae3d6dc8dc70c520
Backbone Mountain,2, North America,United States,Maryland,https://sp-images.summitpost.org/957274.jpg?auto=format&fit=max&h=800&ixlib=php-2.1.1&q=35&s=1ffcf393309d5cd59de34a8c942ac9ed
